,Player,Nationality,Position,Club,Age,Born,90s,Yellow Cards,Red Cards,2nd Yellows,Fouls Comitted,Fouls Drawn,Crosses,Interceptions,Tackles won,penalties won,penalties comitted,own goals ,ball recoveries
30,Toni Kroos, GER,MF,Real Madrid,32,1990,9.4,2,0,0,6,11,0,28,9,16,0,0,0
31,Erling Haaland, NOR,FW,Manchester City,22,2000,9.3,1,0,0,11,7,4,1,2,0,0,0,0
32,Fikayo Tomori, ENG,DF,Milan,24,1997,9.2,4,1,0,14,2,0,1,10,16,0,2,0
33,Edin Džeko, BIH,FW,Inter,36,1986,9.2,2,0,0,13,14,2,7,0,2,0,0,0
34,Rade Krunić, BIH,"MF,FW",Milan,28,1993,9.1,4,0,0,7,10,0,1,7,11,0,0,0
35,Matteo Darmian, ITA,DF,Inter,32,1989,9.1,1,0,0,10,4,1,10,19,11,0,0,0
36,Rafa Silva, POR,MF,Benfica,29,1993,9.1,1,0,0,3,19,3,9,1,5,1,0,0
37,Rodrygo, BRA,FW,Real Madrid,21,2001,9.1,0,0,0,4,12,2,12,9,3,1,0,0
38,Joshua Kimmich, GER,MF,Bayern Munich,27,1995,9.0,3,0,0,8,17,0,40,20,11,0,0,0
39,Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9.0,2,0,0,0,0,0,0,1,0,0,0,0
40,Hakan Çalhanoğlu, TUR,MF,Inter,28,1994,8.9,1,0,0,15,13,1,47,8,11,0,0,0
41,Nicolás Otamendi, ARG,DF,Benfica,34,1988,8.8,3,0,0,9,6,0,0,15,11,0,0,0
42,Kim Min-jae, KOR,DF,Napoli,25,1996,8.7,3,0,0,9,1,0,0,22,9,0,0,0
43,Éder Militão, BRA,DF,Real Madrid,24,1998,8.3,3,0,0,14,9,0,2,9,5,0,0,0
44,Karim Benzema, FRA,FW,Real Madrid,34,1987,8.3,0,0,0,4,2,3,0,0,2,0,0,0
45,Pierre Kalulu, FRA,DF,Milan,22,2000,8.3,0,0,0,11,8,0,4,7,8,0,0,0
46,Luka Modrić, CRO,MF,Real Madrid,36,1985,8.3,0,0,0,3,6,0,21,7,2,0,0,0
47,Federico Dimarco, ITA,DF,Inter,24,1997,8.1,2,0,0,7,9,1,63,10,6,0,0,0
48,Eduardo Camavinga, FRA,"MF,DF",Real Madrid,19,2002,8.0,3,0,0,14,16,0,3,6,17,0,0,0
49,Simon Mignolet, BEL,GK,Club Brugge,34,1988,8.0,2,0,0,0,1,0,0,1,0,0,0,0
50,Obite N'Dicka, FRA,DF,Eint Frankfurt,22,1999,8.0,2,0,0,6,0,0,1,13,7,0,0,0
51,Sergio Ramos, ESP,DF,Paris S-G,36,1986,8.0,2,0,0,4,3,1,1,11,5,0,0,0
52,Kevin De Bruyne, BEL,MF,Manchester City,31,1991,8.0,1,0,0,5,7,1,77,2,3,0,0,0
53,Harry Kane, ENG,FW,Tottenham,29,1993,8.0,1,0,0,7,14,2,9,2,0,1,0,0
54,Djibril Sow, SUI,MF,Eint Frankfurt,25,1997,8.0,1,0,0,8,14,0,1,18,8,0,1,0
55,Virgil van Dijk, NED,DF,Liverpool,31,1991,8.0,1,0,0,6,0,0,0,4,2,0,1,0
56,Alisson, BRA,GK,Liverpool,29,1992,8.0,0,0,0,0,0,0,0,0,0,0,0,0
57,Diogo Costa, POR,GK,Porto,22,1999,8.0,0,0,0,0,1,0,0,0,0,0,0,0
58,Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8.0,0,0,0,0,1,0,0,0,0,0,0,0
59,Brandon Mechele, BEL,DF,Club Brugge,29,1993,8.0,0,0,0,1,1,0,0,11,7,1,0,0
60,Willi Orban, HUN,DF,RB Leipzig,29,1992,8.0,0,0,0,4,7,0,3,8,5,0,0,0
61,Kevin Trapp, GER,GK,Eint Frankfurt,32,1990,8.0,0,0,0,0,1,0,0,0,0,0,0,0
62,Gonçalo Ramos, POR,FW,Benfica,21,2001,7.9,2,0,0,11,10,2,5,1,5,2,0,0
63,Dayot Upamecano, FRA,DF,Bayern Munich,23,1998,7.9,2,0,0,7,1,0,0,14,8,0,1,0
64,David Alaba, AUT,DF,Real Madrid,30,1992,7.9,0,0,0,3,0,0,19,7,3,0,0,0
